Model,Mode,Sessions,Attempts,Pass@1,Pass@10,Energy (J),Latency (s),Tool Calls
Deepseek R1 Distill ,Base,17,303,44.9%,63.9%,274,21.3,0.00
Deepseek R1 Distill ,Tool Submission,7,43,0.0%,25.0%,—,1.8,1.00
Gemma 3N E2B It,Base,113,2276,57.9%,65.2%,181,15.1,0.00
Gemma 3N E2B It,Tool Submission,102,2300,57.2%,65.1%,182,17.0,1.05
Gemma 3N E2B It,Full Tool,149,2284,47.7%,58.5%,105,13.3,2.15
Llama 3.2 3B Instruc,Base,4,6,33.3%,100.0%,13,3.1,0.00
Qwen 3 0.6B,Base,7,13,50.0%,100.0%,107,13.7,0.00
Qwen 3 4B,Base,19,247,58.2%,84.5%,1081,76.0,0.00
Qwen 3 4B,Tool Submission,15,191,75.6%,84.5%,1011,70.3,0.32
Qwen 3 4B,Full Tool,5,43,92.0%,92.0%,666,84.7,1.00
