model,quant,mode,problem_id,run_id,duration_s,tokens,success,tool_calls,context_len,inter_token_avg_ms,inter_token_p95_ms,ttft_ms,energy_joules,energy_per_token_j,tps
deepseek-r1-distill-qwen-1.5b,Q4_K_M,base,32,3,22.793021,2048,True,0,376,10.691337203793319,18.201351165771484,0.010967254638671875,317.4354325222969,0.15492212421781204,89.85206480527526
deepseek-r1-distill-qwen-1.5b,Q4_K_M,base,34,1,22.838742,2048,False,0,388,10.724343690364869,16.09435081481932,0.019311904907226562,382.9370893571377,0.18688974590392277,89.67218947523467
deepseek-r1-distill-qwen-1.5b,Q4_K_M,base,31,0,24.828317,2048,False,0,681,11.648131324466465,19.285106658935543,0.014781951904296875,372.7807730574608,0.1819330273584484,82.48646092282453
deepseek-r1-distill-qwen-1.5b,Q4_K_M,base,30,4,24.847545,2048,False,0,448,11.722360720804344,19.907760620117184,0.009059906005859375,359.9713861083984,0.17568149639258096,82.4226296803165
deepseek-r1-distill-qwen-1.5b,Q4_K_M,base,31,1,22.81342,2048,False,0,681,10.727477806728022,19.12159919738769,0.010251998901367188,227.81292986631394,0.11118249383421862,89.77172208287928
deepseek-r1-distill-qwen-1.5b,Q4_K_M,base,34,0,22.780094,2048,False,0,388,10.708856605913303,16.737556457519524,0.009059906005859375,369.80857977771757,0.1804824693888324,89.90305307783191
deepseek-r1-distill-qwen-1.5b,Q4_K_M,base,32,2,22.868931,2048,False,0,376,10.73529523660521,18.65139007568359,0.009775161743164062,392.7724685294628,0.19168983334771245,89.5538142994091
deepseek-r1-distill-qwen-1.5b,Q4_K_M,base,30,3,23.019041,2048,False,0,448,10.842669120702935,19.777154922485348,0.010013580322265625,261.39351289010045,0.12757126056129842,88.96982285230735
deepseek-r1-distill-qwen-1.5b,Q4_K_M,base,33,0,8.760203,810,False,0,378,9.735601603911338,15.781998634338379,0.010967254638671875,78.92009042477608,0.0973120720404144,92.46361071769684
deepseek-r1-distill-qwen-1.5b,Q4_K_M,base,33,1,22.791541,2048,False,0,378,10.73202777339401,19.57569122314453,0.009059906005859375,381.65421611976615,0.18626364866752862,89.85789947244024
deepseek-r1-distill-qwen-1.5b,Q4_K_M,base,30,2,22.986643,2048,False,0,448,10.783469519887452,18.976879119873047,0.007867813110351562,381.26360169529914,0.1860730120523666,89.09521934107559
deepseek-r1-distill-qwen-1.5b,Q4_K_M,base,30,1,25.509659,2048,False,0,448,12.054724248808846,20.335435867309563,0.009059906005859375,416.10113193522454,0.20307522300401393,80.28331542965745
deepseek-r1-distill-qwen-1.5b,Q4_K_M,base,31,4,22.858652,2048,False,0,681,10.745819398052463,19.82784271240234,0.009775161743164062,374.0078747532368,0.18253190568728006,89.59408455056756
deepseek-r1-distill-qwen-1.5b,Q4_K_M,base,33,2,22.795356,2047,True,0,378,10.720370396455362,17.97471046447753,0.007867813110351562,268.2644317133427,0.13092456403774655,89.79899239125723
deepseek-r1-distill-qwen-1.5b,Q4_K_M,base,34,4,22.898708,2048,False,0,388,10.746947842845106,18.579149246215817,0.010967254638671875,381.3499089069368,0.18611513367834884,89.43736039605379
deepseek-r1-distill-qwen-1.5b,Q4_K_M,base,30,0,22.828073,2048,False,0,448,10.710585111522162,17.700290679931637,0.017881393432617188,308.5285883851051,0.15057520174968525,89.71409895175996
deepseek-r1-distill-qwen-1.5b,Q4_K_M,base,32,1,22.760207,2047,False,0,376,10.72326023131609,17.518019676208496,0.010967254638671875,263.80721540307997,0.12881211689603514,89.93767060202923
deepseek-r1-distill-qwen-1.5b,Q4_K_M,base,31,2,22.824011,2048,False,0,681,10.73284926444743,19.11606788635254,0.014066696166992188,369.89156945013997,0.18052297191319666,89.7300654122538
deepseek-r1-distill-qwen-1.5b,Q4_K_M,base,34,3,22.879109,2048,False,0,388,10.73117184022277,15.941715240478512,0.0171661376953125,373.98875285410884,0.18252257337926248,89.51397539126197
deepseek-r1-distill-qwen-1.5b,Q4_K_M,base,34,2,22.815501,2048,False,0,388,10.732997505184265,17.979192733764638,0.017881393432617188,212.73479592227932,0.10382371689715926,89.76353401137236
deepseek-r1-distill-qwen-1.5b,Q4_K_M,base,31,3,22.799112,2048,False,0,681,10.734608954135938,20.021772384643555,0.011920928955078125,292.21217752170566,0.1426120924947319,89.82805997005497
deepseek-r1-distill-qwen-1.5b,Q4_K_M,base,32,0,22.988468,2047,False,0,376,10.692436015233397,18.238902091979966,0.007867813110351562,371.1398890593052,0.18122064895473886,89.04464621130907
deepseek-r1-distill-qwen-1.5b,F16,base,55,2,41.571298,2048,False,0,331,19.844686304318607,59.42144393920894,0.009059906005859375,705.7452148473031,0.34443397503528705,49.264759546358164
deepseek-r1-distill-qwen-1.5b,F16,base,57,4,44.959701,2048,False,0,413,21.524249431038555,68.55621337890625,0.009059906005859375,313.06745538866664,0.15279036378168212,45.55190435986218
deepseek-r1-distill-qwen-1.5b,F16,base,56,0,26.280119,1369,True,0,364,18.513484592855413,59.75807905197139,0.009775161743164062,252.8660814536381,0.1845737820829475,52.09261038734262
deepseek-r1-distill-qwen-1.5b,F16,base,55,3,41.993975,2048,False,0,331,20.10110798785022,34.14463996887205,0.010013580322265625,647.7277554317051,0.3161189631194266,48.76890077683763
deepseek-r1-distill-qwen-1.5b,F16,base,57,2,30.671244,1403,False,0,413,21.23629418533412,33.47554206848144,0.012159347534179688,221.06392733800652,0.15745293969943486,45.743172334320704
deepseek-r1-distill-qwen-1.5b,F16,base,55,4,40.802811,2048,True,0,331,19.50191904592072,60.84117889404295,0.010013580322265625,457.32301230634306,0.22319327101334457,50.19262030745872
deepseek-r1-distill-qwen-1.5b,F16,base,59,0,33.22512,1517,True,0,342,21.269982197225016,29.98071908950804,0.010013580322265625,274.9949272214565,0.1811560785385089,45.65822486118937
deepseek-r1-distill-qwen-1.5b,F16,base,57,3,38.010015,1605,False,0,413,23.11581009500202,36.80622577667236,0.009059906005859375,178.2964335900223,0.11101894993152074,42.22571340737434
deepseek-r1-distill-qwen-1.5b,F16,base,57,0,21.653987,1130,False,0,413,18.269734715698675,32.44650363922119,0.010967254638671875,253.96599633358002,0.22454995254958446,52.18438525893638
deepseek-r1-distill-qwen-1.5b,F16,base,57,1,37.479625,2025,False,0,413,18.07278730085548,34.527480602264404,0.014066696166992188,531.5260702886296,0.2623524532520383,54.029355950066204
deepseek-r1-distill-qwen-1.5b,F16,base,55,0,42.691317,2048,False,0,331,20.34740904123391,31.666707992553693,0.0209808349609375,343.7621148616809,0.16777067587197703,47.97228438747861
deepseek-r1-distill-qwen-1.5b,F16,base,58,0,40.410644,2045,True,0,403,19.29476471747812,43.267440795898295,0.010967254638671875,470.86424447604276,0.22980197387801013,50.60547909110283
deepseek-r1-distill-qwen-1.5b,F16,base,55,1,44.945641,2046,False,0,331,21.51168155623577,28.491520881652754,0.009059906005859375,546.2117572083174,0.26683525022389715,45.5216558152992
deepseek-r1-distill-qwen-1.5b,Q4_K_M,tool_submission,32,3,270.387933,1,False,0,493,617.8642908732096,1661.8391036987302,7.9898834228515625,4.328036185741425,1.442678728580475,0.003698389898191204
deepseek-r1-distill-qwen-1.5b,Q4_K_M,tool_submission,34,1,1.423131,11,False,1,505,,,,,,7.729436011161306
deepseek-r1-distill-qwen-1.5b,Q4_K_M,tool_submission,31,0,1.547799,13,False,1,798,,,,,,8.399023387403663
deepseek-r1-distill-qwen-1.5b,Q4_K_M,tool_submission,30,4,1.44877,12,False,1,565,,,,,,8.28288824313038
deepseek-r1-distill-qwen-1.5b,Q4_K_M,tool_submission,31,1,1.506827,13,False,1,798,,,,,,8.627400491230912
deepseek-r1-distill-qwen-1.5b,Q4_K_M,tool_submission,34,0,1.307561,12,False,1,505,,,,,,9.177392106372093
deepseek-r1-distill-qwen-1.5b,Q4_K_M,tool_submission,32,2,1.428766,13,False,1,493,,,,,,9.098760748786015
deepseek-r1-distill-qwen-1.5b,Q4_K_M,tool_submission,30,3,1.263185,12,False,1,565,,,,,,9.49979615020761
