model,quant,mode,attempts,problems,success_rate,tokens_mean,tokens_median,duration_mean_s,duration_median_s,tps_mean,tps_median,tps_weighted,inter_token_avg_ms,inter_token_p95_ms,ttft_mean_ms,ttft_median_ms,energy_mean_joules,energy_per_token_mean_j,tool_call_rate
deepseek-r1-distill-qwen-1.5b,F16,base,13,5,0.3076923076923077,1798.4615384615386,2045.0,37.284269,40.410644,48.447005114125155,48.76890077683763,48.236470412267934,20.20030085931128,42.56797662148105,0.011168993436373197,0.010013580322265625,399.80115313426086,0.21708066376751223,0.0
deepseek-r1-distill-qwen-1.5b,F16,tool_submission,25,5,0.0,244.08,33.0,36.91652168,2.279546,13.0369461400248,12.310390395622804,6.611673822245108,20.50305873141049,72.1269369125366,0.010848045349121094,0.010848045349121094,459.4932434607172,0.22425243702328806,1.0
deepseek-r1-distill-qwen-1.5b,Q4_K_M,base,22,5,0.09090909090909091,1991.590909090909,2048.0,22.512925181818176,22.8334075,88.66792227476675,89.69314421349732,88.46433295569035,10.835333700672505,18.42472444881092,0.011660835959694603,0.010609626770019531,325.3989280115088,0.16148806056624251,0.0
deepseek-r1-distill-qwen-1.5b,Q4_K_M,tool_submission,25,5,0.0,277.48,12.0,29.581792359999998,1.465109,9.250350416181428,8.59961688706768,9.380094235777403,314.75359029802473,839.9292230606078,3.99935245513916,3.99935245513916,179.94021328651905,0.8081017826375524,0.92
gemma-3n-e2b-it,F16,base,17,5,0.11764705882352941,174.1764705882353,162.0,7.149270529411765,6.782333,23.26475989677169,23.885586272452265,24.362831126851535,37.525541212652946,80.01708844128768,0.010097728056066176,0.009059906005859375,75.62492685301164,0.437691697803266,0.0
gemma-3n-e2b-it,F16,full_tool,25,5,0.0,153.48,119.0,7.253818320000001,5.596723,20.441465789633398,21.26244232562519,21.15851172848233,36.752169571409794,82.17529344558712,0.010051727294921875,0.010013580322265625,74.77637339424133,0.4676445550436813,3.0
gemma-3n-e2b-it,F16,tool_submission,17,5,0.11764705882352941,164.41176470588235,164.0,7.0176364705882355,6.770929,22.618249367713105,24.225629238561886,23.428367285047035,38.27005143621421,76.53654533274026,0.00946662005256204,0.009059906005859375,75.64517489329506,0.46094057065206445,0.8235294117647058
gemma-3n-e2b-it,Q4_K_M,base,25,10,0.28,164.24,175.0,281.79373864,315.000386,0.6095665898796315,0.602151824910791,0.582837648532076,1647.4895987784716,3309.252571582794,0.012636184692382812,0.010967254638671875,5221.017495992112,30.651232828504373,0.0
gemma-3n-e2b-it,Q4_K_M,full_tool,15,5,0.2,103.2,95.0,175.56129366666667,141.879046,0.6726014762721518,0.7429196357683078,0.5878288878181939,1282.512423150244,1906.021982828776,0.012350082397460938,0.010967254638671875,3409.5961448473363,32.0947207373954,2.7333333333333334
gemma-3n-e2b-it,Q4_K_M,tool_submission,21,10,0.38095238095238093,163.04761904761904,181.0,262.0406679999999,292.01957,0.6394815021890417,0.6198214729238866,0.6222225744273369,1551.4547007492336,3124.082191785176,0.01071748279389881,0.010013580322265625,4267.889608744632,26.29095849651349,1.0
llama-3.2-3b-instruct,F16,base,14,5,0.21428571428571427,38.0,37.0,2.9898489999999995,2.83533,12.603505512919526,13.008682485705016,12.709671960022064,51.788863935297606,76.60644905907766,0.010779925755092077,0.010013580322265625,13.753391232575686,0.3340880285971193,0.0
llama-3.2-3b-instruct,F16,full_tool,19,5,0.15789473684210525,189.3684210526316,140.0,19.703137736842105,14.778177,10.333072328535618,8.889365622274854,9.611079391610767,37.024990154768695,97.05406552866877,0.009586936549136513,0.009298324584960938,104.74770042500998,0.5349860059695526,1.894736842105263
llama-3.2-3b-instruct,F16,tool_submission,14,5,0.21428571428571427,68.71428571428571,45.5,3.565023357142857,2.8902254999999997,17.252791596997806,15.5977562932853,19.27456816702483,41.53447452807608,68.5620725154876,0.009672982352120536,0.009059906005859375,29.151180211271566,0.30673441459570105,0.0
llama-3.2-3b-instruct,Q4_K_M,base,9,5,0.4444444444444444,32.77777777777778,28.0,2.849609222222222,2.778893,11.584851067352085,9.493427327305232,11.502551831375866,62.25476308925301,66.71626302931031,0.009563234117296007,0.009059906005859375,10.89905864432123,0.37562016364712586,0.0
llama-3.2-3b-instruct,Q4_K_M,full_tool,18,5,0.16666666666666666,132.27777777777777,106.0,7.227753777777778,6.979585999999999,21.454136519919725,14.584516658339783,18.301367457269343,21.208584328571636,22.225663397047228,0.009126133388943143,0.009059906005859375,40.30494501553642,0.28196071332671624,1.4444444444444444
llama-3.2-3b-instruct,Q4_K_M,tool_submission,13,5,0.23076923076923078,44.76923076923077,43.0,2.8322412307692306,2.876354,15.885488331162277,15.142124686593233,15.806997752473062,59.03897645886533,96.23626837363598,0.008693108191856971,0.008821487426757812,9.987519389611025,0.3130686857611969,0.0
qwen-3-0.6b,F16,base,8,5,0.625,1274.375,1394.0,17.05396525,18.0081005,72.96568876236279,74.61915422721925,74.72602302857395,12.438797112495731,17.005477845668793,0.011473894119262695,0.012159347534179688,284.3440323827565,0.22700365582469845,0.0
qwen-3-0.6b,F16,full_tool,6,5,0.8333333333333334,659.3333333333334,594.5,26.626495000000002,23.01206,42.03799398163949,43.862359649167004,24.762302861617098,12.547696692878665,14.869449536005654,2.5364955266316733,0.01049041748046875,146.19322718719644,0.216378081508688,1.0
qwen-3-0.6b,F16,tool_submission,9,5,0.5555555555555556,1312.888888888889,1384.0,17.54444977777778,17.457578,74.45665138081834,75.1698889015456,74.83214951270946,12.383458012041999,17.08952983220418,5.290773179796007,0.011920928955078125,316.421269529793,0.24058467968722536,0.7777777777777778
qwen-3-0.6b,Q4_K_M,base,22,5,0.09090909090909091,1516.0,2048.5,17.170605636363636,22.796225,87.79849550419145,88.84108149508552,88.29042097323807,10.634567529277707,14.626720818606282,0.011183998801491478,0.010013580322265625,146.64418130837785,0.09661872499069223,0.0
qwen-3-0.6b,Q4_K_M,full_tool,21,5,0.09523809523809523,1114.2380952380952,1140.0,26.61875833333333,17.008549,67.78889575860553,87.01186227784368,41.859131116675385,10.354840848333922,14.09534726824079,0.2810841514950707,0.010967254638671875,101.8192648132642,0.09278159250700975,1.0476190476190477
qwen-3-0.6b,Q4_K_M,tool_submission,20,5,0.1,1426.4,1421.0,16.272611849999997,15.851962,88.22125945381319,88.56163116696848,87.65648767072388,10.585434333107276,13.889423012733454,3.7245750427246094,0.010967254638671875,148.34417970099452,0.10377060399829889,0.6
qwen-3-4b,F16,base,15,5,0.2,1900.1333333333334,2049.0,83.76541666666668,89.298961,22.669731544944238,22.90179181875569,22.683983545317524,43.53068366799029,162.24093516667685,0.011142094930013021,0.010251998901367188,1504.8140531414092,0.7895327779845307,0.0
qwen-3-4b,F16,full_tool,9,5,0.4444444444444444,1654.111111111111,2049.0,287.22462966666666,447.912457,10.965946960420842,4.574554621060695,5.758945926854392,44.66359921530766,162.794115808275,0.010861290825737847,0.010967254638671875,1347.7917209776472,0.7999166064261206,0.4444444444444444
qwen-3-4b,F16,tool_submission,12,5,0.3333333333333333,1746.25,2049.0,76.87788833333333,88.9994325,22.65282512156276,22.796305273381336,22.71459372594196,43.30616707386162,162.6849333445231,0.010172526041666666,0.009655952453613281,1393.2037168322697,0.7949963635780112,0.3333333333333333
qwen-3-4b,Q4_K_M,base,13,5,0.23076923076923078,1867.8461538461538,2049.0,47.071363384615395,51.244146,39.813129061648446,39.985055073412674,39.68115685505368,24.46566408707561,40.03050143902115,0.011077293982872596,0.010251998901367188,995.6476886003388,0.5309117276621252,0.0
qwen-3-4b,Q4_K_M,full_tool,6,5,0.8333333333333334,1260.8333333333333,1271.0,56.3016395,30.988809500000002,35.059980107445504,40.15115258139099,22.394256091482617,23.704229482043292,37.27224270502726,0.01724561055501302,0.011205673217773438,659.1921896943252,0.5036463917756328,1.0
qwen-3-4b,Q4_K_M,tool_submission,5,5,1.0,989.4,841.0,24.455929400000002,21.235386,40.543376114363966,40.52770711007302,40.45644652539764,23.229256365393177,35.278496742248514,0.010204315185546875,0.010013580322265625,451.38428566145893,0.44682389613723367,1.0
