model,quantization,mode,job_ids,total_problems,passed_problems,pass_rate,total_duration_seconds,energy_joules,avg_power_watts,max_power_watts,min_power_watts,cpu_avg_percent,cpu_max_percent,memory_avg_percent,memory_max_percent,inter_token_avg_ms,inter_token_p95_ms,context_avg_tokens,context_max_tokens,warm_start_avg_s,warm_start_count,overall_pass_at_1,overall_pass_at_10,overall_pass_at_3,overall_pass_at_5
deepseek-r1-distill-qwen-1.5b,F16,base,"5144272,5144282,5144292,5144302,5144312",2776,291,0.10482708933717579,1087.1989785599997,584609.9239794852,10.76247132386699,16.849999999999998,10.0,1.524942647733933,13.7,7.680608464342329,18.4,9.972647477358143,17.01045036315918,491.6159942363112,4494,19.58061630511527,2776,0.3646503476510682,0.024939961575408263,0.17995446847887409,0.1212887812826059
deepseek-r1-distill-qwen-1.5b,F16,full_tool,"5144272,5144282,5144292,5144302,5144312",1741,248,0.1424468696151637,2505.444750742857,942654.5300394061,10.758687425491223,23.05,10.0,1.5173748509823703,26.1,8.546658721740094,24.9,10.066193778364621,14.146530628204346,19743.856978747845,51079,50.36625739632394,1741,0.40159475488453084,0.04265747654604633,0.31594496347265694,0.24416555632400386
deepseek-r1-distill-qwen-1.5b,Q4_K_M,base,"5144271,5144281,5144291,5144301,5144311",2850,289,0.10140350877192983,974.6403979600003,523250.2507402657,10.745975414930685,19.45,10.0,1.4919508298613473,18.9,6.364630752638666,22.1,8.74953329970868,13.350248336791992,492.3357894736842,4494,17.097401497894726,2850,0.34984310776942346,0.04573684210526316,0.16545120439988859,0.130111116912652
deepseek-r1-distill-qwen-1.5b,Q4_K_M,full_tool,"5144271,5144281,5144291,5144301,5144311",2390,291,0.12175732217573222,2279.1070005227275,1074340.2588065264,10.72190489443459,17.0,10.0,1.443809788869142,14.0,6.341025737344143,22.4,8.7922383233306,13.71297836303711,19192.476569037655,51120,41.95680399037657,2390,0.34033059374377356,0.020557880055788007,0.2542605806269509,0.2311442125083413
gemma-3n-e2b-it,F16,base,"5144270,5144280,5144290,5144300,5144310",2207,330,0.1495242410512007,174.17137286000002,92914.71269642115,10.726164583742188,21.95,10.0,1.4523291674843724,23.9,4.357267862589654,5.6,21.12385882285139,31.43364191055298,443.67557770729496,4438,3.9445230158586315,2207,0.5310683539387664,0.010466696873584052,0.0931143601527607,0.06381440546313677
gemma-3n-e2b-it,F16,full_tool,"5144270,5144280,5144290,5144300,5144310",2451,262,0.10689514483884129,249.2819248085107,125016.4297188997,10.707261216350174,13.5,10.0,1.4145224327003547,7.0,4.3057646533660785,5.8,21.127049792625378,18.15047264099121,3853.380252957976,22789,4.778559908200733,2451,0.4528604456878631,0.013305226891518203,0.06003304218464211,0.03966634933587198
gemma-3n-e2b-it,F16,tool_submission,"5144270,5144280,5144290,5144300,5144310",2143,336,0.1567895473635091,158.93638564000005,84761.29107998611,10.723303873649803,19.4,10.0,1.4466077472996048,18.8,4.382434782066552,5.6,21.372062696858066,31.502771377563477,502.8404106392907,4490,3.7068982701819886,2143,0.548658256116259,0.0,0.10080814056840655,0.0660546241361687
gemma-3n-e2b-it,Q4_K_M,base,"5144269,5144279,5144289,5144299,5144309",2305,323,0.14013015184381777,192.79977926000007,103775.42012315987,10.809154134389573,21.7,10.0,1.6183082687791497,23.4,7.276078174361856,17.6,22.621635228703603,34.080588817596436,439.46550976138826,4438,4.1809568694143175,2305,0.5014305684674448,0.01106290672451193,0.11162787935130668,0.07746071916353912
gemma-3n-e2b-it,Q4_K_M,full_tool,"5144269,5144279,5144289,5144299,5144309",2239,268,0.11969629298794104,233.71159668888893,113325.91599956749,10.812705880405646,21.95,10.0,1.6254117608112932,23.9,7.154446905780211,17.9,23.0449390709754,33.693110942840576,3540.691826708352,27968,4.695653844573469,2239,0.45960760543610013,0.010049129075480124,0.09573270911759076,0.05234918330887514
gemma-3n-e2b-it,Q4_K_M,tool_submission,"5144269,5144279,5144289,5144299,5144309",2146,340,0.15843429636533085,182.47680496000004,98480.39289518591,10.836477835491358,22.1,10.0,1.6729556709827156,24.2,7.112624890475676,17.6,22.764144832794504,34.01597738265991,503.1901211556384,4490,4.2503019599254435,2146,0.5454273177118006,0.016425908667287978,0.11213740680335506,0.08249012559357387
llama-3.2-3b-instruct,F16,base,"5144268,5144278,5144288,5144298,5144308",2485,317,0.12756539235412476,117.44643148000003,62318.79744163752,10.686237613682318,16.35,10.0,1.3724752273646337,12.7,5.118743507906816,9.2,41.14401925524377,19.9440598487854,418.47002012072437,4423,2.3617044414486923,2485,0.4478223946855737,0.03095238095238095,0.11252283941745711,0.11461371403021303
llama-3.2-3b-instruct,F16,full_tool,"5144268,5144278,5144288,5144298,5144308",2685,305,0.11359404096834265,338.63263458,181160.11435517072,10.720642644285244,16.7,10.0,1.4412852885704872,13.4,5.0073370352168665,10.3,13.46589346617262,18.4212327003479,3008.617877094972,28787,6.304643611545625,2685,0.37075726404776677,0.0148975791433892,0.20507369508945728,0.1417026133165177
llama-3.2-3b-instruct,F16,tool_submission,"5144268,5144278,5144288,5144298,5144308",2470,322,0.13036437246963561,133.96622155999998,71299.47213512658,10.705867509456302,16.0,10.0,1.4117350189126068,12.0,5.046077472664997,9.1,24.05689365977693,19.619417190551758,414.2408906882591,4419,2.7104449076923083,2470,0.4365277777777777,0.015492577597840755,0.1563852201474382,0.15551414594177754
llama-3.2-3b-instruct,Q4_K_M,base,"5144267,5144277,5144287,5144297,5144307",2416,322,0.13327814569536423,108.64286954000005,57181.71561224462,10.605945811289002,12.8,10.05,1.2118916225780003,5.6,4.51959296703169,6.1,39.52047229934017,15.473365783691406,423.8956953642384,4423,2.247009286837749,2416,0.4535843056869546,0.006622516556291391,0.1750114892121308,0.13719367575948702
llama-3.2-3b-instruct,Q4_K_M,full_tool,"5144267,5144277,5144287,5144297,5144307",2649,306,0.11551528878822197,273.83271454000004,145745.03814381358,10.669285926492298,21.8,10.0,1.3385718529845982,23.6,4.502853755875391,8.3,10.97899187938572,13.634157180786133,2839.6319365798413,32397,5.167232852774631,2649,0.38369125516067765,0.030577576443941108,0.18294618514324065,0.11760088163447921
