job_id,models,quantizations,modes,total_problems,passed_problems,pass_rate,total_duration_seconds,energy_joules,gpu_util_avg,gpu_util_max,gpu_mem_util_avg,gpu_mem_util_max,gpu_mem_used_avg_mib,gpu_mem_used_max_mib,gpu_power_avg_w,gpu_power_max_w,gpu_temperature_avg_c,gpu_samples,cpu_util_avg_percent,cpu_util_max_percent,cpu_samples,cpu_mem_avg_percent,cpu_mem_max_percent
5144267,llama-3.2-3b-instruct,Q4_K_M,"base,full_tool,tool_submission",1304,211,0.16180981595092025,4364.340207,47283.32338500023,23.643093922651932,69.0,9.187845303867404,27.0,4415.588950276243,4548.0,117.27082872928177,202.69,44.899447513812156,905,0.6575793184488837,3.6,851,3.055111633372503,3.8
5144268,llama-3.2-3b-instruct,F16,"base,full_tool,tool_submission",1337,206,0.15407629020194466,5107.979969000002,56227.05486236812,31.08732394366197,100.0,24.20469483568075,59.0,8473.374647887324,8752.0,138.15771830985915,262.77,44.415962441314555,1065,1.2745762711864408,2.7,1003,5.762412761714855,6.2
5144269,gemma-3n-e2b-it,Q4_K_M,"base,full_tool,tool_submission",1120,206,0.18392857142857144,4739.690193,51934.473266172405,44.42389210019268,78.0,5.105973025048169,10.0,3070.2369942196533,3144.0,103.77680154142583,198.39,44.44412331406551,1038,1.1891615541922291,23.5,978,3.207770961145194,6.7
5144270,gemma-3n-e2b-it,F16,"base,full_tool,tool_submission",1188,211,0.1776094276094276,5257.034135999999,56635.04736506939,38.878181818181815,100.0,14.442727272727273,27.0,9720.453636363636,10082.0,116.54734545454545,263.86,43.556363636363635,1100,1.0879961277831558,1.7,1033,2.3631171345595354,2.7
5144271,deepseek-r1-distill-qwen-1.5b,Q4_K_M,"base,full_tool",1080,131,0.12129629629629629,30416.170943999998,327903.555814433,43.54327237099935,93.0,9.700195950359243,15.0,2297.0303723056827,2304.0,127.55174069235794,253.53,45.786414108425866,6124,1.213342574943684,20.7,5771,2.265136024952348,3.3
5144272,deepseek-r1-distill-qwen-1.5b,F16,"base,full_tool",797,108,0.1355081555834379,22811.692565999998,246064.49460806852,52.72600936220012,85.0,24.662814511410183,32.0,4291.74400234055,4310.0,157.43437390286718,333.85,47.907548273844355,6836,1.1796520658589624,5.7,6438,2.3350885368126746,3.8
5144273,qwen-3-4b,Q4_K_M,"base,full_tool,tool_submission",300,162,0.54,6736.034058000001,71237.80862356425,56.44541484716157,72.0,20.018922852983987,24.0,5514.08442503639,5578.0,165.62342794759826,197.74,49.1863173216885,1374,1.1455460883036406,1.6,1291,1.6986057319907049,1.7
5144274,qwen-3-4b,F16,"base,full_tool,tool_submission",992,216,0.21774193548387097,31290.056522000003,338781.5659372687,65.975067820695,80.0,47.847952460922365,56.0,10814.326572794213,10870.0,203.1902028161736,241.86,52.73401369332127,7741,1.359295311214697,21.2,7294,3.2216342199067727,5.5
5144275,qwen-3-0.6b,Q4_K_M,"base,full_tool,tool_submission",1663,172,0.10342754058929646,33759.502582,360605.92522497184,39.79905507160785,60.0,5.6019489148087995,7.0,3036.381071903145,3046.0,114.20286283773808,133.24,45.45489443378119,6773,1.1690293241336052,6.3,6377,3.044958444409597,4.7
5144276,qwen-3-0.6b,F16,"base,full_tool,tool_submission",1548,186,0.12015503875968993,31167.389758999998,336824.6832513809,41.786455837725605,62.0,12.600543044242134,16.0,3792.877176169941,3806.0,121.59027152212107,144.74,44.53553745408082,6261,1.2018794446325771,9.2,5906,5.848594649508974,6.9
5144277,llama-3.2-3b-instruct,Q4_K_M,"base,full_tool,tool_submission",1571,187,0.11903246339910885,6126.132146999999,64756.46694308519,24.9576,70.0,9.7712,28.0,4477.7296,4550.0,122.396336,248.57,43.9024,1250,0.7283290924512299,4.2,1179,2.580407124681934,6.6
5144278,llama-3.2-3b-instruct,F16,"base,full_tool,tool_submission",1599,179,0.11194496560350219,7036.154342,75930.53020997049,34.671052631578945,76.0,27.162742382271468,59.0,8570.286703601108,8752.0,154.89991689750693,263.37,46.53116343490305,1444,1.5740631888317413,5.7,1361,3.7362233651726675,5.5
5144279,gemma-3n-e2b-it,Q4_K_M,"base,full_tool,tool_submission",1432,177,0.12360335195530726,6913.274177999999,75106.75255986453,48.03933747412008,78.0,5.532091097308489,10.0,3098.8433402346445,3144.0,103.18466528640441,132.1,42.24568668046929,1449,0.8873715124816447,7.1,1362,2.866079295154185,4.0
5144280,gemma-3n-e2b-it,F16,"base,full_tool,tool_submission",1468,166,0.11307901907356949,7086.710499,77363.27647843362,43.54713375796178,100.0,16.236305732484077,27.0,9797.996178343948,10082.0,122.73876433121019,173.77,42.08471337579618,1570,0.9292286874154263,23.0,1478,3.3330175913396483,4.0
5144281,deepseek-r1-distill-qwen-1.5b,Q4_K_M,"base,full_tool",1194,102,0.08542713567839195,36144.064516000006,389458.63622305397,43.54333128457284,93.0,9.72120467117394,15.0,2297.283097725876,2306.0,127.98882851874616,260.48,46.24622003687769,8135,0.9654312932271957,15.1,7663,3.358710687720214,12.5
5144282,deepseek-r1-distill-qwen-1.5b,F16,"base,full_tool",812,80,0.09852216748768473,22695.324598,245752.50196146965,51.979896167016456,86.0,24.342427924444934,33.0,4297.126919253286,4310.0,160.18090577709046,334.02,48.17298133215509,9053,1.1316924519456166,23.2,8532,8.311415846225973,15.8
5144283,qwen-3-4b,Q4_K_M,"base,full_tool,tool_submission",300,110,0.36666666666666664,8211.245033000001,88934.58861018419,55.47904191616767,73.0,19.70419161676647,24.0,5516.77125748503,5578.0,170.4524371257485,207.22,48.41556886227545,1670,1.5902795425667091,3.2,1574,3.7790978398983484,5.3
5144284,qwen-3-4b,F16,"base,full_tool,tool_submission",1247,147,0.11788291900561347,41693.980395000006,447495.42723929865,66.55599099474694,100.0,48.26598849328775,56.0,10816.213958142249,10870.0,215.74369548903528,253.53,52.1274076544651,11993,1.084576630722998,17.8,11314,3.0619232808909316,5.4
5144285,qwen-3-0.6b,Q4_K_M,"base,full_tool,tool_submission",1901,137,0.07206733298264072,40924.253075,439309.26725385187,39.99339083678728,59.0,5.648034053993503,7.0,3038.4937829057912,3046.0,105.7577226391845,123.08,45.31555953847877,8927,1.1963372577000833,12.1,8409,2.4031276013794742,4.4
5144286,qwen-3-0.6b,F16,"base,full_tool,tool_submission",1745,138,0.07908309455587392,37493.40622300001,402575.4066849231,42.521535371568845,63.0,12.792122294130774,17.0,3798.131443874135,3806.0,131.37936286543183,159.03,46.94376255300156,8962,1.1909026297085998,17.0,8442,2.4011608623548923,4.4
5144287,llama-3.2-3b-instruct,Q4_K_M,"base,full_tool,tool_submission",1478,193,0.13058186738836267,5061.562494000001,54362.72141976356,26.51104707012488,76.0,10.382324687800192,30.0,4460.972142170989,4550.0,120.07505283381364,229.96,43.85302593659942,1041,1.020777891504606,3.0,977,2.1671443193449336,2.5
5144288,llama-3.2-3b-instruct,F16,"base,full_tool,tool_submission",1604,188,0.1172069825436409,6262.110783000001,66583.86062107087,33.18822618125484,77.0,25.910147172734316,59.0,8561.0302091402,8752.0,146.47890007745934,249.37,47.06196746707978,1291,0.8976190476190476,15.6,1218,2.626190476190476,5.5
5144289,gemma-3n-e2b-it,Q4_K_M,"base,full_tool,tool_submission",1286,179,0.13919129082426127,6318.157268,68213.7628805518,39.97480755773268,99.0,4.5934219734079775,18.0,3093.829951014696,3144.0,99.28951014695592,179.87,41.743876836948914,1429,1.062778603268945,1.8,1346,5.780089153046062,6.2
5144290,gemma-3n-e2b-it,F16,"base,full_tool,tool_submission",1313,173,0.13175932977913177,5134.933755,54768.60123035908,45.51802179379715,75.0,16.993294216261525,27.0,9765.18692372171,10082.0,127.84588432523051,174.95,44.35540653813914,1193,0.9039180765805878,3.4,1123,3.0111308993766697,3.7
5144291,deepseek-r1-distill-qwen-1.5b,Q4_K_M,"base,full_tool",904,104,0.11504424778761062,24847.325461000004,271259.6649441242,43.563559322033896,90.0,9.753143794423183,15.0,2297.7482230727173,2304.0,127.06030891197376,255.98,45.68261344997266,7316,1.4921102248005802,13.1,6895,5.642654097171864,6.3
5144292,deepseek-r1-distill-qwen-1.5b,F16,"base,full_tool",901,107,0.11875693673695893,29191.434117,304318.60783513787,52.625124378109454,85.0,24.61554726368159,32.0,4291.4549751243785,4310.0,168.1792537313433,342.47,48.27810945273632,8040,0.8694895132568263,6.4,7581,4.236248516026909,23.2
5144293,qwen-3-4b,Q4_K_M,"base,full_tool,tool_submission",300,146,0.4866666666666667,7347.69328,79505.35302025078,55.964071856287426,75.0,19.829673985362607,24.0,5501.536926147704,5578.0,173.84839654025282,209.73,49.909514304723885,1503,0.9829681978798587,3.1,1415,3.5290459363957596,4.3
5144294,qwen-3-4b,F16,"base,full_tool,tool_submission",1223,183,0.14963205233033525,43050.23643700001,467480.16226552724,66.41914008321775,100.0,48.201386962552014,56.0,10826.830698104484,10870.0,209.8611030975497,247.53,50.16856218215442,10815,1.0214362797998626,4.8,10193,13.18922790150103,18.6
5144295,qwen-3-0.6b,Q4_K_M,"base,full_tool,tool_submission",1779,147,0.08263069139966273,38453.55524600001,427616.7762873173,39.83438055720213,59.0,5.6435091879075285,7.0,3037.6106698280973,3046.0,109.87629756965026,128.86,43.52863070539419,8435,1.320412786307576,23.2,7946,3.7641958217971307,19.7
