model,quantization,mode,A100_kJ,MacBook_M2_Max_kJ,iPhone15_kJ
deepseek-r1-distill-qwen-1.5b,F16,base,0.416,4.050,
deepseek-r1-distill-qwen-1.5b,F16,full_tool,0.322,7.650,
deepseek-r1-distill-qwen-1.5b,Q4_K_M,base,0.388,3.090,30.440
deepseek-r1-distill-qwen-1.5b,Q4_K_M,full_tool,0.247,6.300,32.750
gemma-3n-e2b-it,F16,base,0.026,0.470,
gemma-3n-e2b-it,F16,full_tool,0.031,0.860,
gemma-3n-e2b-it,Q4_K_M,base,0.032,35.740,5.400
gemma-3n-e2b-it,Q4_K_M,full_tool,0.029,42.780,3.750
llama-3.2-3b-instruct,F16,base,0.005,0.140,
llama-3.2-3b-instruct,F16,full_tool,0.031,1.000,
llama-3.2-3b-instruct,Q4_K_M,base,0.005,0.150,2.990
llama-3.2-3b-instruct,Q4_K_M,full_tool,0.018,0.530,4.230
qwen-3-0.6b,F16,base,0.227,4.130,
qwen-3-0.6b,F16,full_tool,0.159,2.830,
qwen-3-0.6b,Q4_K_M,base,0.250,1.980,9.660
qwen-3-0.6b,Q4_K_M,full_tool,0.171,1.500,7.830
qwen-3-4b,F16,base,0.460,14.070,
qwen-3-4b,F16,full_tool,0.218,3.720,
qwen-3-4b,Q4_K_M,base,0.137,3.090,18.550
qwen-3-4b,Q4_K_M,full_tool,0.104,1.180,10.290
