model,quantization,base,tool_submission,full_tool,delta_base_to_full
deepseek-r1-distill-qwen-1.5b,F16,35.998236331569665,,40.38955026455026,4.391313932980595
deepseek-r1-distill-qwen-1.5b,Q4_K_M,38.29166666666667,5.351190476190476,42.62268518518518,4.331018518518515
gemma-3n-e2b-it,F16,34.49603174603175,52.52072310405643,48.73500881834215,14.238977072310405
gemma-3n-e2b-it,Q4_K_M,38.55313051146385,53.96913580246914,54.78373015873016,16.230599647266313
llama-3.2-3b-instruct,F16,62.406305114638435,40.866843033509696,44.3260582010582,-18.08024691358024
llama-3.2-3b-instruct,Q4_K_M,46.86794532627866,47.94664902998236,36.573164682539684,-10.294780643738976
qwen-3-0.6b,F16,37.57694003527337,32.93650793650794,46.1657848324515,8.588844797178135
qwen-3-0.6b,Q4_K_M,36.71252204585538,33.0760582010582,47.45017636684303,10.737654320987655
qwen-3-4b,F16,51.46825396825396,58.89241622574956,75.53924162257496,24.070987654320998
qwen-3-4b,Q4_K_M,45.85471781305115,51.82760141093474,70.15035273368606,24.29563492063491
